id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
4388,CoinCasino,CAS,Czech Republic,1,0,0,2017-12-27,2018-02-15,1.2E-2,,0.68,,936000000,,0,0,,,0,,,,,0,ETH,http://ccasino.io/pdf/whitepaper_eng.pdf,,https://www.github.com/ccasinoio?tab=repositories,http://ccasino.io/?utm_source=icobench,2.1,,,1,,ICObench
4389,CoinDrive,CDR,Ukraine,1,0,0,2017-12-18,2018-01-08,1,,0.88,,18000000,,0,0,,,0,,2017-10-30,2017-11-13,,1,ETH,,https://www.linkedin.com/company/coindrive/,https://www.github.com/DriveCoin?tab=repositories,https://coindrive.xyz/?utm_source=icobench,2.1,4,,1,,ICObench
4390,Contrib,CTB,USA,1,0,0,2017-11-01,2017-12-30,,,0.35,,300000000,,0,0,,,0,,,,,1,"BTC, ETH, ETC",https://drive.google.com/file/d/0B0I38rxT5eOWTzRSa2NvaWVTdnc/view,,https://www.github.com/DevelopersContrib?tab=repositories,http://crypto.contrib.com?utm_source=icobench,2.4,2,,1,,ICObench
4391,Copy Trader,CTT,USA,1,0,0,2017-10-22,2018-05-14,0.45369999999999999,,0.3,,60000000,,0,0,,,0,,2017-10-08,2017-10-22,0.30860800199999999,1,ETH,https://github.com/copytarder/white_paper/raw/master/Copy%20Token-whitepaper%20v1.02%20.pdf,,https://www.github.com/copytarder?tab=repositories,https://copycrypto.trade/?utm_source=icobench,2.4,3,,1,,ICObench
4392,CrowdCoinage,CCOS,Estonia,1,0,0,2018-02-12,2018-03-12,6.9000000000000006E-2,8915000,0.5,,,,0,0,,10 CCOS,1,,2018-01-15,2018-01-28,,0,"BTC, BCH, ETH, LTC, XRP, Fiat",https://cdn.crowdcoinage.com/static/CrowdCoinage-Whitepaper-2017-12-04.pdf,https://www.linkedin.com/company/cryptoabs/,,https://crowdcoinage.com/?utm_source=icobench,2.7,11,,1,,ICObench
4393,CryptoABS,ABS,Taiwan,1,0,0,2017-07-14,2017-08-04,1000,992.7382117,,,1000,,0,0,,,0,,,,,1,ETH,https://github.com/CryptoABS/whitepaper,,https://www.github.com/CryptoABS?tab=repositories,https://cryptoabs.com/?utm_source=icobench,2.4,4,,1,,ICObench
4394,CryptoKami,KAMI,Japan,1,0,0,2018-04-20,2018-05-20,1.1999999999999999E-3,11968000,214,,45000000,Yes,1,0,"USA, The Cayman Islands, China, South Korea, Canada",0.5 ETH,1,,2018-02-03,2018-03-03,0.55000000000000004,0,"ETH, BTC",https://medium.com/cryptokami/whitepaper-abf0614e537c,https://www.linkedin.com/company/cryptominingcoin/,https://www.github.com/CryptoKami?tab=repositories,https://cryptokami.com?utm_source=icobench,2,,,0,,ICObench
4395,CryptoMiningCoin,CryptoMiningCoin/CMC,Singapore,1,0,0,2020-05-01,2020-06-20,5.0836342775000001E-2,,0.35,,350000000,No,0,0,,,0,,2020-04-10,2020-04-30,4.7305292970000003E-2,0,"CMC, BTC, BCH, ETH, LTC, XRP, DOGE, CNB, BNB and USDT",https://www.cryptominingcoin.com/whitepaper/whitepaper.pdf,,,https://www.cryptominingcoin.com?utm_source=icobench,2.4,1,,1,,ICObench
4396,CryptoNationz,CNZ,United Arab Emirates,1,0,0,2018-04-30,2018-05-16,1.55,,0.7,,400000000,No,0,0,,,0,,2018-04-15,2018-04-22,,0,,https://www.cryptonationz.co/images/CNZcoinWhitepaper.pdf,,,https://www.cryptonationz.co/?utm_source=icobench,2.4,,,1,,ICObench
4397,DAEX,DAX,China,1,0,0,2018-09-09,2018-09-14,6.5199999999999994E-2,1037304,,,,No,1,0,"USA, China",2 ETH,1,,,,,0,ETH,https://daex.io/whitepaper.html,https://www.linkedin.com/company/daex-blockchain-group-limited/,,https://www.daex.io?utm_source=icobench,2.8,5,2696,1,,ICObench
4398,Dank Signals,DANK,Canada,1,0,0,2018-05-18,2018-06-15,0.01,3428658,0.8,,700000000,No,0,0,,10 USD,1,,2018-05-11,2018-05-17,,0,"ETH, BTC, LTC, ETC, DGB",http://danksignals.club/files/Dank%20Signals%20White%20Paper%20v0.0.5.pdf,https://www.linkedin.com/in/dank-signals-87245115b/,https://www.github.com/danksigNonels?tab=repositories,https://danksignals.club?utm_source=icobench,2.4,,,1,,ICObench
4399,DealBox,DLBX,USA,1,0,0,2017-11-19,2018-01-19,0.75,,,,,,0,0,,,0,,,,,1,ETH,https://dlbx.io/DealBoxWPv1.7.pdf,https://www.linkedin.com/company/dealbox-uk/,https://www.github.com/dlbx?tab=repositories,https://dlbx.io/?utm_source=icobench,2.4,17,,1,,ICObench
4400,Debitum Network,DEB,Lithuania,1,0,0,2018-01-25,2018-02-25,106,16574400,,,400000000,,0,0,,0.05 ETH,1,,,,,1,ETH,https://debitum.network/whitepaper/,https://www.linkedin.com/company/debitum-network/,https://www.github.com/debitum?tab=repositories,https://debitum.network/?utm_source=icobench,2.9,15,2584,1,0x151202c9c18e495656f372281f493eb7698961d5,ICObench
4401,Decem,DECEM,Slovenia,1,0,0,2018-04-30,2018-06-10,1.4999999999999999E-2,,0.94,,940000000,Yes,1,0,,,0,Available,2018-06-15,2018-08-20,1E+01,0,ETH,https://decem.io/pdf/whitepaper.pdf,,,https://www.decem.io/#!/en/home?utm_source=icobench,2.4,7,,1,,ICObench
4402,DeCoin,DCI,Ukraine,1,0,0,2017-12-18,2018-01-31,0.03,,0.7,,350000000,,0,0,,,0,,,,0.01,0,ETH,https://docs.google.com/document/d/1ap8Odxzm4HHUFikxCn10GA7UuC-TAmt1RYrgTG2x6mI/edit#heading=h.hhdk55e516wo,,,https://decoin.me/?utm_source=icobench,2.5,4,,1,,ICObench
